PRODUCT_NAME,PRODUCT_PRICE,PRODUCT_IMAGELINK
"Fujitsu ScanSnap iX1600 Versatile Cloud Enabled Document Scanner for Mac or PC, Black","$,419,.,99",https://m.media-amazon.com/images/I/71u7Psu+y7L._AC_UL320_.jpg
HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),"$,226,.,99",https://m.media-amazon.com/images/I/91fAU6mxFsL._AC_UL320_.jpg
"SAMSUNG 970 EVO Plus SSD 1TB, M.2 NVMe Interface Internal Solid State Hard Drive with V-NAND Technology for Gaming, Graphic Design, MZ-V7S1T0B/AM","$,112,.,73",https://m.media-amazon.com/images/I/81vkjxbO-rL._AC_UL320_.jpg
HP M27ha FHD Monitor - Full HD Monitor (1920 x 1080p) - IPS Panel and Built-in Audio - VESA Compatible 27-inch Monitor Designed for Comfortable Viewing with Height and Pivot Adjustment - (22H94AA#ABA),"$,224,.,00",https://m.media-amazon.com/images/I/818NZ0C5z+L._AC_UL320_.jpg
"SanDisk 1TB Extreme Portable SSD - Up to 1050MB/s - USB-C, USB 3.2 Gen 2 - External Solid State Drive - SDSSDE61-1T00-G25","$,133,.,50",https://m.media-amazon.com/images/I/712+jjz3lyL._AC_UL320_.jpg
"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black","$,75,.,99",https://m.media-amazon.com/images/I/71iNwni9TsL._AC_UL320_.jpg
Samsung Electronics 870 EVO 500GB 2.5 Inch SATA III Internal SSD (MZ-77E500B/AM),"$,69,.,99",https://m.media-amazon.com/images/I/911ujeCkGfL._AC_UL320_.jpg
SAMSUNG LC27F398FWNXZA SAMSUNG C27F398 27 Inch Curved LED Monitor,"$,199,.,99",https://m.media-amazon.com/images/I/91SZVWfPjdL._AC_UL320_.jpg
"Logitech MK270 Wireless Keyboard and Mouse Combo for Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia and Shortcut Keys, 2-Year Battery Life, for PC, Laptop",,https://m.media-amazon.com/images/I/61pUul1oDlL._AC_UL320_.jpg
"Logitech G PRO X SUPERLIGHT Wireless Gaming Mouse, Ultra-Lightweight, HERO 25K Sensor, 25,600 DPI, 5 Programmable Buttons, Long Battery Life, Compatible with PC / Mac - Black",,"https://m.media-amazon.com/images/I/61WRvXLabPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/31cG81uP+GS._AC_US40_.jpg"
"Sceptre 24"" Professional Thin 75Hz 1080p LED Monitor 2x HDMI VGA Build-in Speakers, Machine Black (E248W-19203R Series)","$,139,.,97",https://m.media-amazon.com/images/I/71rXSVqET9L._AC_UL320_.jpg
"SanDisk 128GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 160MB/s, C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-128G-GN6MA","$,21,.,79",https://m.media-amazon.com/images/I/815cRpgAN3L._AC_UL320_.jpg
"NETGEAR Nighthawk M5 Mobile Router with WiFi 6 (MR5200) – Ultrafast 5G | Connect up to 32 Devices | Secure Wireless Network Anywhere | Works Best with AT&T, T-Mobile","$,656,.,91",https://m.media-amazon.com/images/I/51WYOv80sYL._AC_UL320_.jpg
"SAMSUNG EVO Select Micro SD Memory Card + Adapter, 128GB microSDXC 130MB/s Full HD & 4K UHD, UHS-I, U3, A2, V30, Expanded Storage for Phone, Gaming, Tablet, MB-ME128KA/AM","$,16,.,99",https://m.media-amazon.com/images/I/71rN0dqZNZL._AC_UL320_.jpg
"Canon PG-243/ CL-244 Ink Multi pack, Compatible to TR4520, MX492, MG2520, MG2922, TS302 and TS202 Printers","$,26,.,00","https://m.media-amazon.com/images/I/71zFeihP3xL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/41GkWBPuvsL._AC_US40_.jpg,https://m.media-amazon.com/images/I/41zAPwcyLTL._AC_US40_.jpg"
"Motorola MB8611 DOCSIS 3.1 Multi-Gig Cable Modem | Pairs with Any WiFi Router | Approved for Comcast Xfinity Gigabit, Cox Gigablast, Spectrum, and More | 2.5 Gbps Ethernet Port","$,179,.,97",https://m.media-amazon.com/images/I/51jeSWK0oOL._AC_UL320_.jpg
"Western Digital 1TB WD Blue 3D NAND Internal PC SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 560 MB/s - WDS100T2B0A","$,99,.,99",https://m.media-amazon.com/images/I/718eEaTmJVL._AC_UL320_.jpg
"HP 414A | W2020A | Toner-Cartridge | Black | Works with HP Color LaserJet Pro M454 series, M479 series",,https://m.media-amazon.com/images/I/71P4F3d1AtL._AC_UL320_.jpg
"Samsung 980 PRO SSD 2TB PCIe NVMe Gen 4 Gaming M.2 Internal Solid State Hard Drive Memory Card, Maximum Speed, Thermal Control, MZ-V8P2T0B","$,316,.,09",https://m.media-amazon.com/images/I/81zJ87YqekL._AC_UL320_.jpg
"Crucial MX500 1TB 3D NAND SATA 2.5 Inch Internal SSD, up to 560MB/s - CT1000MX500SSD1","$,99,.,99",https://m.media-amazon.com/images/I/81rg-38AdJL._AC_UL320_.jpg
"Jabra Evolve 30 II Wired Headset, Stereo, UC-Optimized – Telephone Headset with Superior Sound for Calls and Music – 3.5mm Jack/USB Connection – Pro Headset with All-Day Comfort","$,83,.,00","https://m.media-amazon.com/images/I/61Fqloh5uBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/31L0V1II+ML._AC_US40_.jpg"
"Samsung 870 QVO SATA III 2.5"" SSD 2TB (MZ-77Q2T0B)","$,196,.,88",https://m.media-amazon.com/images/I/91S1PIX+yWL._AC_UL320_.jpg
"HP 58X | CF258X | Toner-Cartridge | Black | Works with HP LaserJet Pro M404 series, M428 series | High Yield","$,232,.,89",https://m.media-amazon.com/images/I/81pc3hFHuhL._AC_UL320_.jpg
"Original HP 63XL Black High-yield Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U64AN","$,41,.,89",https://m.media-amazon.com/images/I/71dknWOvquL._AC_UL320_.jpg
